City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ilulissat,87.6905,-51.5371,-6.18,94,100,7.51,,1730386800
1,port-aux-francais,-82.3078,96.482,-41.49,92,93,4.74,,1730386800
2,vadso,79.812,30.1178,-2.77,59,49,6.1,,1730386800
3,fale old settlement,2.5361,-160.504,26.47,82,4,4.16,,1730386800
4,waitangi,-59.2258,-179.3472,3.44,85,74,9.23,,1730386800
5,adamstown,-40.6638,-125.9017,11.67,84,51,13.22,,1730386800
6,albany,-54.4055,110.5766,-0.11,67,35,5.21,,1730386800
7,atafu village,-24.4942,-129.8619,21.96,78,100,11.26,PN,1730386800
8,kerikeri,-5.9424,-177.257,28.15,66,24,4.66,,1730386800
9,puerto baquerizo moreno,-28.6485,177.0239,18.46,55,41,0.69,,1730386800
10,mirny,-3.1945,-88.4307,20.27,79,100,5.36,,1730386800
11,iqaluit,61.4582,113.9003,-15.29,98,100,0.85,RU,1730386800
12,suva,85.5337,-81.7082,-9.55,94,100,7.25,,1730386800
13,stephenville,-21.9356,177.1079,23.18,82,99,7.54,,1730386800
14,ushuaia,48.3506,-58.4894,8.66,95,100,5.07,CA,1730386800
15,papatowai,62.5407,-66.5664,-0.51,99,100,3.32,,1730386800
16,taiohae,-74.5855,-79.1377,-19.87,99,100,9.05,,1730386800
17,talnakh,-86.5507,173.8566,-35.17,84,30,7.02,,1730386800
18,badger,-56.3413,-69.1367,9.04,89,100,15.72,,1730386800
19,bethel,5.7259,-146.3508,26.85,76,87,8.41,,1730386800
20,vilyuchinsk,89.8785,94.4963,-8.34,95,100,8.13,,1730386800
21,cargados carajos,67.2277,-142.923,-16.3,93,57,2.84,US,1730386800
22,college,82.7069,-164.6855,-20.03,100,100,5.59,,1730386800
23,walvis bay,33.6228,163.1336,22.34,69,72,13.16,,1730386800
24,wailua homesteads,-14.7026,60.5712,25.52,83,93,9.53,,1730386800
25,iskateley,-62.8348,111.8112,-8.72,91,57,3.47,,1730386800
26,polyarnyy,80.0137,-158.4296,-23.27,100,100,3.26,,1730386800
27,hermanus,-23.9225,5.2212,17.61,85,71,7.68,,1730386800
28,progreso,-81.6784,174.6763,-18.99,80,72,2.62,,1730386800
29,margaret river,-74.7833,84.5066,-35.05,85,38,7.39,,1730386800
30,east london,39.2913,-176.7615,20.93,92,100,15.55,,1730386800
31,whitehorse,-84.5294,86.9743,-39.86,88,14,5.1,,1730386800
32,rio grande,67.7253,53.4047,1.37,97,100,9.58,RU,1730386800
33,portland,82.4132,40.3985,-2.46,95,99,1.12,,1730386800
34,tangalle,-62.1947,8.6934,-1.4,77,100,6.51,,1730386800
35,avarua,23.1081,-90.4711,27.15,82,62,4.2,,1730386800
36,codrington,-22.4534,-117.0876,23.49,76,63,5.39,,1730386800
37,sheffield lake,-41.2328,99.1017,9.53,84,100,15.8,,1730386800
38,broome,-42.0747,36.9568,8.7,74,37,4.36,,1730386800
39,nar'yan-mar,-68.3666,-147.5814,-14.05,99,92,3.26,,1730386800
40,puerto san carlos,66.6611,-126.2366,-7.69,95,100,4.09,CA,1730386800
41,petropavlovsk-kamchatsky,-54.0675,-65.8187,7.74,87,85,11.79,AR,1730386800
42,acarau,-45.099,138.8659,8.41,65,23,12.62,,1730386800
43,tranovaho,1.6706,84.1629,28.63,68,82,3.09,,1730386800
44,san patricio,-17.1941,-160.2567,25.18,86,100,7.35,,1730386800
45,dubbo,-57.2998,-170.9249,4.68,86,80,11.19,,1730386800
46,rasht,23.9622,-46.9616,25.32,73,96,10.62,,1730386800
47,sitka,41.6134,-82.1674,19.81,78,61,11.53,US,1730386800
48,toga village,-20.9792,124.9445,34.88,14,2,1.81,AU,1730386800
49,roses,77.7301,46.714,1.77,84,99,9.19,,1730386800
50,olonkinbyen,23.2761,-117.141,20.02,67,24,6.15,,1730386800
51,grytviken,-45.0565,108.678,11.14,93,100,16.9,,1730386800
52,tomatlan,40.7971,171.7958,19.25,83,80,32.14,,1730386800
53,enewetak,-0.9107,-38.7917,26.17,79,20,5.81,,1730386800
54,devinuwara,82.7797,94.3201,-4.13,95,100,4.98,,1730386800
55,quiberon,-28.4827,42.0506,21.94,75,25,9.17,,1730386800
56,acapulco de juarez,14.8738,-107.0843,28.15,73,94,3.17,,1730386800
57,fortuna,-31.8088,148.8146,15.81,56,68,1.64,AU,1730386800
58,esqueda,38.7612,70.3107,11.6,47,97,1.35,TJ,1730386800
59,ribeira grande,-81.0372,173.5288,-19.89,78,20,3.1,,1730386800
60,mahibadhoo,-67.1759,67.0727,-12.82,81,42,3.77,,1730386800
61,puerto real,47.9034,-142.3391,10.58,86,100,9.44,,1730386800
62,road town,-6.1284,175.2651,28.42,74,92,7.73,,1730386800
63,aasiaat,42.4651,4.0627,18.87,83,81,4.37,ES,1730386800
64,bilibino,88.7427,-17.8482,-4.85,95,100,7.91,,1730386800
65,edinburgh of the seven seas,-75.777,-21.9548,-10.26,79,100,2.96,,1730386800
66,manmad,16.4899,-109.7479,27.32,72,99,5.82,,1730386800
67,invercargill,25.4018,159.5084,25.72,73,37,2.26,,1730386800
68,nova sintra,-86.9038,-72.8545,-24.38,94,99,6.74,,1730386800
69,happy valley-goose bay,-69.2934,-150.3435,-18.04,100,91,2.61,,1730386800
70,uturoa,-60.2004,9.9015,-1.37,94,100,9.66,,1730386800
71,kodiak,-3.7072,84.289,28.69,70,90,2.8,,1730386800
72,west island,47.4572,-3.278,16.47,81,0,5.32,FR,1730386800
73,hasaki,-39.4421,99.4603,10.42,82,81,13.92,,1730386800
74,lucapa,7.3115,-102.4634,25.58,76,100,7.24,,1730386800
75,puerto natales,60.9326,-78.6348,0.93,60,70,8.09,CA,1730386800
76,blackmans bay,39.089,-132.3321,16.55,66,68,9.92,,1730386800
77,cabo san lucas,30.6761,-109.6875,12.3,29,0,1.13,MX,1730386800
78,port lincoln,48.6698,-36.4949,11.31,81,100,17.91,,1730386800
79,shingu,3.9735,65.9463,28.34,71,12,2.65,,1730386800
80,paradip garh,16.9813,-67.7265,25.66,87,100,5.76,PR,1730386800
81,choyr,20.8342,-64.0705,26.13,77,100,11.04,,1730386800
82,kaiapoi,71.0233,-57.8766,-3.19,52,100,10.87,,1730386800
83,utrik,69.9533,171.7125,-6.8,95,100,5.62,RU,1730386800
84,yanam,-86.1642,7.2614,-31.32,93,92,5.57,,1730386800
85,cuatro cienegas de carranza,-56.5002,12.2167,-0.43,94,100,7.81,,1730386800
86,nabire,-45.5395,80.2393,6.57,82,100,11.39,,1730386800
87,punta arenas,-74.5718,-76.0383,-20.34,100,100,9.5,,1730386800
88,cockburn town,20.2151,74.5116,27.26,40,3,3.63,IN,1730386800
89,sitangkai,-72.1529,162.8836,-13.16,72,100,5.15,,1730386800
90,thompson,4.6912,-27.6353,27.7,79,37,6.48,,1730386800
91,driefontein,3.8974,-149.7731,26.79,74,77,9.32,,1730386800
92,hawaiian paradise park,-82.9564,-79.0878,-21.66,76,20,7.08,,1730386800
93,mil'kovo,60.3294,-60.3453,1.13,95,100,13.86,,1730386800
94,tiksi,-16.5674,-152.8379,25.13,74,83,6.75,PF,1730386800
95,manati,42.5564,-157.4478,13.51,95,100,5.45,,1730386800
96,nadym,-18.9053,97.0178,24.63,76,7,5.08,,1730386800
97,vingt cinq,-70.215,-124.5155,-14.96,99,97,2.84,,1730386800
98,'ohonua,81.9437,-132.6461,-21.33,98,65,5.16,,1730386800
99,gueltat zemmour,32.629,152.5845,22.34,61,80,9.33,,1730386800
100,zambezi,-29.6788,96.4374,17.35,94,100,4.16,,1730386800
101,vetovo,-74.2655,91.3319,-39.07,97,93,6.31,,1730386800
102,sonsorol village,-7.9026,19.7657,28.37,51,99,1.56,AO,1730386800
103,saldanha,-54.5003,-76.8981,7.02,91,100,19.25,,1730386800
104,santa terezinha,-60.4642,148.1677,-3.66,77,100,16.45,,1730386800
105,leninsk-kuznetsky,9.7546,-117.3852,26.39,81,74,4.4,,1730386800
106,qaqortoq,-68.5533,-44.4109,-8.26,89,95,4.25,,1730386800
107,irymple,-32.9973,130.9518,16.4,75,28,7.09,,1730386800
108,chibougamau,-73.7348,10.5684,-30.2,84,100,5.79,,1730386800
109,seogwipo,-40.128,134.5161,10.78,62,91,5.09,,1730386800
110,bayan nur,-56.3052,138.6987,0.56,64,72,6.8,,1730386800
111,bredasdorp,29.2178,138.3906,26.03,79,100,9.81,,1730386800
112,lihue,20.0011,87.5219,28.38,70,6,3.12,IN,1730386800
113,muravlenko,-83.3574,-118.4963,-22.57,80,1,6.68,,1730386800
114,vorgashor,76.4541,41.1669,2.08,81,100,6.16,,1730386800
115,port mathurin,46.9663,107.838,-2.68,66,3,3.28,MN,1730386800
116,arteche,-80.596,156.1097,-21.45,66,30,3.24,,1730386800
117,la passe,-43.2597,172.6143,10.64,74,95,3.46,NZ,1730386800
118,alice springs,20.2715,175.8101,27.5,80,5,5.93,,1730386800
119,keflavik,13.9523,84.8898,28.69,72,30,3.23,,1730386800
120,shalkar,26.4584,-102.1463,22.05,43,0,0.71,MX,1730386800
121,tamanrasset,-1.9234,135.7673,28.98,76,76,4.31,ID,1730386800
122,vila franca do campo,-81.9587,-95.0176,-25.81,90,59,5.02,,1730386800
123,lebu,-80.4242,2.9977,-29.89,77,62,6.36,,1730386800
124,haiku-pauwela,20.861,-70.9714,27.1,73,14,10.75,TC,1730386800
125,lashio,4.5428,119.5466,28.84,78,75,3.77,PH,1730386800
126,port elizabeth,-57.0622,1.9937,-0.6,91,100,0.84,,1730386800
127,praia,73.9287,-175.5417,-13.49,96,89,5.19,,1730386800
128,hjorring,79.1269,-97.4842,-15.6,96,93,2.52,CA,1730386800
129,puerto aysen,-27.1932,30.5459,19.36,46,55,4.67,ZA,1730386800
130,port douglas,17.8065,-147.5348,25.04,77,76,8.46,,1730386800
131,faya-largeau,54.4209,156.548,-3.97,98,100,1.14,RU,1730386800
132,ahmetli,58.9437,-62.6899,1.89,74,87,9.23,,1730386800
133,minas de marcona,72.9529,128.9981,-20.28,99,93,2.94,RU,1730386800
134,thinadhoo,21.6051,-76.8525,27.89,70,62,10.97,CU,1730386800
135,kristiansund,72.9896,71.6355,-2.97,96,96,7.32,RU,1730386800
136,itaituba,-7.7809,65.4022,28.08,79,86,4.0,,1730386800
137,kiffa,70.8755,-66.2683,-1.28,95,100,10.7,CA,1730386800
138,fuerte olimpo,-25.3393,-172.0724,21.85,81,100,6.75,,1730386800
139,arkhangel'sk,25.2172,-13.9669,27.57,30,70,2.61,,1730386800
140,anadyr,9.123,-143.8999,27.04,79,47,4.27,,1730386800
141,yellowknife,-12.7869,23.498,30.02,38,99,2.53,ZM,1730386800
142,aral,43.7089,26.1629,18.25,46,38,1.48,BG,1730386800
143,burabay,7.197,130.8589,29.16,73,21,3.77,,1730386800
144,bamboo flat,-34.1357,11.4405,16.35,86,74,5.39,,1730386800
145,palangkaraya,-56.0102,-24.2667,-1.33,89,97,3.05,,1730386800
146,richards bay,-36.0172,71.9827,12.24,62,15,2.39,,1730386800
147,dompu,-42.3328,-125.5453,11.36,86,72,13.6,,1730386800
148,erwin,-10.8623,-52.0827,23.35,94,100,1.51,,1730386800
149,lewistown,54.5822,85.8952,-2.5,96,99,1.04,RU,1730386800
150,mount pearl,54.0291,-38.5665,5.36,49,93,4.08,,1730386800
151,qui nhon,-56.1456,166.2705,3.09,63,100,16.73,,1730386800
152,torrington,72.6152,87.9055,-8.31,96,98,3.45,,1730386800
153,flying fish cove,-34.7692,142.1004,14.86,50,20,4.49,AU,1730386800
154,klyuchi,49.1476,-75.3028,2.84,84,100,2.07,CA,1730386800
155,gorna oryahovitsa,31.8374,126.3902,23.67,89,100,11.72,,1730386800
156,tieli,-51.1733,-23.2211,1.43,86,100,13.78,,1730386800
157,oeiras,39.9526,108.4048,11.39,50,0,2.08,CN,1730386800
158,constantia,-24.8104,-140.5494,20.84,77,30,6.92,,1730386800
159,hotan,-81.3491,18.853,-30.57,76,70,6.47,,1730386800
160,suai,20.4832,-161.6685,26.24,75,1,7.64,,1730386800
161,coos bay,17.9592,-177.0014,27.78,75,79,9.16,,1730386800
162,pemba,64.2523,73.6509,-3.56,89,59,7.5,RU,1730386800
163,sorong,22.5926,176.6162,27.33,79,6,4.81,,1730386800
164,udachny,70.7182,55.2339,1.66,98,100,10.97,,1730386800
165,gorontalo,65.2121,61.1997,-5.56,96,100,4.49,RU,1730386800
166,zabaykal'sk,76.7881,54.917,1.15,79,79,6.67,,1730386800
167,tevragh zeina,-18.246,66.6366,24.35,79,98,9.58,,1730386800
168,egilsstadir,13.5605,128.4112,29.17,77,23,4.48,,1730386800
169,espargos,-3.7332,61.7775,28.22,67,7,2.58,,1730386800
170,fort mcmurray,-23.6972,136.1907,28.14,15,21,3.45,,1730386800
171,prieska,-21.3718,97.4754,23.04,78,4,3.83,,1730386800
172,longyearbyen,27.0786,175.5394,25.35,91,8,3.8,,1730386800
173,viqueque,55.7898,-26.1756,7.89,88,100,12.5,,1730386800
174,lompoc,48.3068,49.5201,11.65,71,80,11.12,KZ,1730386800
175,padang,-35.9849,62.3763,14.16,71,100,6.45,,1730386800
176,queenstown,24.5705,6.2436,28.85,15,30,5.57,,1730386800
177,kigorobya,40.7222,-18.6386,18.35,82,89,6.29,,1730386800
178,tumpat,-36.4242,-102.1465,12.63,56,26,10.58,,1730386800
179,albufeira,65.9902,-166.6564,-7.39,71,100,10.39,US,1730386800
180,peace river,34.7413,-145.7417,18.09,67,25,1.87,,1730386800
181,puerto quijarro,6.3876,-172.5604,28.21,78,70,4.53,,1730386800
182,rudbar,23.2845,98.327,15.41,82,45,1.11,MM,1730386800
183,chonchi,-34.6433,25.8539,19.43,72,25,8.29,ZA,1730386800
184,port augusta,11.5013,-22.644,27.42,75,94,6.11,,1730386800
185,kapuskasing,57.485,10.1797,11.83,87,100,11.17,DK,1730386800
186,saipan,-47.2204,-79.0861,9.48,84,57,14.47,,1730386800
187,hamilton,-14.0849,146.8478,26.16,62,22,5.53,,1730386800
188,port alfred,-64.2034,44.3858,-7.76,92,100,4.64,,1730386800
189,isafjordur,19.3113,19.144,27.14,16,12,9.4,TD,1730386800
190,tual,38.4464,27.8856,18.08,32,3,3.55,TR,1730386800
191,lionel town,-21.8186,-83.5243,16.89,70,95,4.31,,1730386800
192,hirara,-87.8272,-10.9118,-26.23,95,100,5.7,,1730386800
193,cascais,0.424,69.1636,27.67,65,40,0.31,,1730386800
194,greenville,1.7089,55.2159,26.94,79,11,3.33,,1730386800
195,odacho-oda,-32.9552,-166.7337,16.66,75,0,8.84,,1730386800
196,carrizal,-52.193,70.8609,2.28,94,100,14.17,,1730386800
197,nikolayevsk-on-amure,68.7145,-0.7158,3.5,79,100,14.36,,1730386800
198,buka,66.4719,5.6139,5.8,65,86,8.02,,1730386800
199,maasim,19.7129,157.884,28.01,76,9,7.15,,1730386800
200,kone,-3.7498,-56.7997,37.18,42,75,2.24,BR,1730386800
201,polovinnoye,17.3713,-11.2909,38.6,9,18,4.43,MR,1730386800
202,pacific grove,-20.8087,-57.9461,39.82,29,4,5.68,PY,1730386800
203,trairi,26.8211,-39.2671,25.0,74,89,8.91,,1730386800
204,mournies,83.0303,93.1033,-4.09,95,100,5.45,,1730386800
205,skowhegan,-19.6076,101.9026,23.12,73,10,5.44,,1730386800
206,jinxiang,-89.4972,-115.5087,-32.48,100,100,4.49,,1730386800
207,puerto ayora,71.7103,41.1208,2.57,82,100,3.59,,1730386800
208,pokrovsk,-77.1948,93.9368,-39.34,98,93,5.98,,1730386800
209,ancud,62.7303,171.6775,-5.07,96,100,5.94,,1730386800
210,ytyk-kyuyel',-87.606,-29.6904,-24.35,94,100,6.14,,1730386800
211,nebbi,86.2724,-99.0797,-10.97,93,100,7.68,,1730386800
212,weno,39.6309,82.8055,14.75,28,8,4.76,,1730386800
213,grants pass,53.684,70.4296,1.22,85,52,3.08,KZ,1730386800
214,borogontsy,-89.6681,157.1202,-33.36,98,100,4.43,,1730386800
215,buncrana,65.2879,-81.7665,-0.63,83,78,7.35,CA,1730386800
216,margate,76.7861,-175.0265,-21.86,100,85,2.22,,1730386800
217,klaksvik,-21.0373,88.281,24.16,84,34,0.12,,1730386800
218,nemuro,-55.3182,-90.8455,3.8,70,94,13.26,,1730386800
219,vila velha,-68.8462,52.7605,-24.33,78,2,6.46,,1730386800
220,cabedelo,-68.476,-166.3318,-1.75,97,100,4.86,,1730386800
221,jamestown,15.2678,88.8035,28.39,68,58,1.86,,1730386800
222,sandakan,29.0632,-34.4161,24.79,88,100,12.48,,1730386800
223,carbonear,65.8751,-76.5161,-0.68,91,100,7.92,,1730386800
224,mogadishu,-2.7557,-152.8723,26.83,72,35,4.94,,1730386800
225,hadibu,-80.2793,58.126,-38.35,79,67,4.89,,1730386800
226,labrador city,-0.9199,114.7763,24.7,90,81,0.59,ID,1730386800
227,tchintabaraden,-52.4141,107.7319,0.73,97,100,11.03,,1730386800
228,garachico,-31.4403,35.2389,19.45,80,7,6.79,,1730386800
229,hailun,68.7652,165.0376,-12.96,90,99,3.54,RU,1730386800
230,colby,32.924,-164.1085,22.58,83,12,5.1,,1730386800
231,tazacorte,-10.7138,118.0454,28.97,80,99,6.71,,1730386800
232,dunoon,36.2017,-82.3438,19.67,78,36,2.01,US,1730386800
233,nsanje,47.0337,-108.5449,2.1,49,31,3.9,US,1730386800
234,bargara,-50.6713,168.1819,6.87,57,43,9.5,,1730386800
235,katsuura,77.4943,-82.1489,-27.38,84,28,0.91,,1730386800
236,ust-nera,-77.6856,-133.1308,-23.89,84,2,4.89,,1730386800
237,mahavelona,45.2789,-52.2654,6.81,57,99,4.93,,1730386800
238,dakhla,59.552,173.7501,3.64,94,100,8.88,,1730386800
239,shantobe,15.1356,114.4197,27.79,76,100,4.09,,1730386800
240,idfu,67.4453,-104.909,-14.72,99,92,4.0,,1730386800
241,mogocha,41.9697,-104.4712,4.7,50,14,3.87,US,1730386800
242,pascagoula,-15.7356,105.7008,25.74,71,30,7.32,,1730386800
243,pudasjarvi,48.1761,170.3101,6.6,55,100,9.0,,1730386800
244,synel'nykove,14.4463,-141.055,25.71,87,99,9.98,,1730386800
245,miyanoura,-30.607,71.1255,15.77,62,41,5.83,,1730386800
246,n'zeto,43.2383,25.6539,18.85,51,54,1.67,BG,1730386800
247,geraldton,46.9022,128.014,6.41,74,71,2.82,CN,1730386800
248,yaren,-7.1396,-41.8405,38.96,27,97,1.77,BR,1730386800
249,antsiranana,-40.5996,11.715,12.72,82,51,6.8,,1730386800
250,pandan,83.8125,-107.2719,-13.46,94,100,6.43,,1730386800
251,fortaleza,35.7585,84.3119,-6.25,31,46,3.79,,1730386800
252,zangguy,-10.5044,126.0191,28.37,77,99,6.15,,1730386800
253,georgetown,42.8623,-125.2066,12.9,75,59,8.71,US,1730386800
254,pizarro,-13.1998,41.1148,27.01,83,62,6.8,MZ,1730386800
255,san antonio de pale,0.4304,132.2208,29.28,72,26,2.09,,1730386800
256,bonanza,-5.4655,-168.6835,27.39,72,43,1.7,,1730386800
257,al hazm,30.3616,-41.2602,22.17,55,74,9.09,,1730386800
258,petauke,-43.7549,-120.6829,10.3,86,100,15.47,,1730386800
259,gaspe,77.3499,110.8897,-14.8,91,71,3.88,,1730386800
260,genhe,13.5048,-169.5724,27.31,79,56,8.29,,1730386800
261,san luis de la loma,0.2661,122.164,28.76,77,88,3.77,ID,1730386800
262,glace bay,40.8309,178.1248,20.27,89,100,23.35,,1730386800
263,kuna,27.281,163.1631,25.37,79,89,2.98,,1730386800
264,degerfors,-23.2908,85.4935,21.09,79,100,8.55,,1730386800
265,darnah,49.0161,116.02,0.03,64,42,3.51,CN,1730386800
266,hithadhoo,18.0672,-18.6749,25.42,70,92,7.83,,1730386800
267,dailekh,67.4976,-15.6519,-2.46,63,100,7.08,IS,1730386800
268,villa mercedes,-36.1357,-143.9161,14.63,71,24,1.79,,1730386800
269,savave village,18.8387,-22.5668,24.2,73,76,6.83,,1730386800
270,ialibu,27.4295,-150.7229,23.57,62,1,7.88,,1730386800
271,west end village,-53.8093,76.0566,1.36,93,100,10.82,,1730386800
272,plastun,-34.6982,94.5982,12.74,73,95,7.89,,1730386800
